traitName,traitNameField,fieldDescription,classification,origin,shuffle,UKCategory_temp,main_category,main_category_name,classFirst,classBig,class,brainRegion,leftOrRight,dataType,focus,brain_related_traits,value_type,strata,sexed,brain2brain
100001.0.0,100001,Food weight,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100001.1.0,100001,Food weight,14.1,0.079133173,4.63E-07,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100001.2.0,100001,Food weight,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100001.3.0,100001,Food weight,14.1,0.051049497,0.001029886,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100001.4.0,100001,Food weight,14.1,0.048344805,4.65E-05,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100002.0.0,100002,Energy,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100002.1.0,100002,Energy,14.1,0.064618848,0.000195126,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100002.2.0,100002,Energy,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100002.3.0,100002,Energy,14.1,0.087540379,0.000304678,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100002.4.0,100002,Energy,14.1,0.046458272,7.37E-07,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100003.0.0,100003,Protein,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100003.1.0,100003,Protein,14.1,0.052229455,0.002096986,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100003.2.0,100003,Protein,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100003.3.0,100003,Protein,14.1,0.046212072,0.000380863,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100003.4.0,100003,Protein,14.1,0.030803595,3.52E-05,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100004.0.0,100004,Fat,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100004.1.0,100004,Fat,14.1,0.034656491,1.39E-06,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100004.2.0,100004,Fat,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100004.3.0,100004,Fat,14.1,0.034966224,0.001545936,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100004.4.0,100004,Fat,14.1,0.044778204,0.001931204,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100005.0.0,100005,Carbohydrate,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100005.1.0,100005,Carbohydrate,14.1,0.047815158,0.000256099,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100005.2.0,100005,Carbohydrate,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100005.3.0,100005,Carbohydrate,14.1,0.049248048,7.37E-05,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100005.4.0,100005,Carbohydrate,14.1,0.046694559,2.78E-06,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100006.0.0,100006,Saturated fat,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100006.1.0,100006,Saturated fat,14.1,0.042886764,0.00294566,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100006.2.0,100006,Saturated fat,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100006.3.0,100006,Saturated fat,14.1,0.036124175,0.000111118,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100006.4.0,100006,Saturated fat,14.1,0.032368491,0.000436357,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100007.0.0,100007,Polyunsaturated fat,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100007.1.0,100007,Polyunsaturated fat,14.1,0.039870869,0.000314909,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100007.2.0,100007,Polyunsaturated fat,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100007.3.0,100007,Polyunsaturated fat,14.1,0.02193995,0.001136106,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100007.4.0,100007,Polyunsaturated fat,14.1,0.025593747,4.49E-05,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100008.0.0,100008,Total sugars,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100008.1.0,100008,Total sugars,14.1,0.027526681,0.001749775,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100008.2.0,100008,Total sugars,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100008.3.0,100008,Total sugars,14.1,0.057036581,6.38E-05,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100008.4.0,100008,Total sugars,14.1,0.046747953,0.002794143,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100009.0.0,100009,Englyst dietary fibre,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100009.1.0,100009,Englyst dietary fibre,14.1,0.04132607,0.000103776,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100009.2.0,100009,Englyst dietary fibre,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100009.3.0,100009,Englyst dietary fibre,14.1,0.053046822,0.00156309,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100009.4.0,100009,Englyst dietary fibre,14.1,0.054415177,8.86E-05,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100010.0.0,100010,Portion size,14.1,,,,100097,Typical diet yesterday,lifestyle,Diet,Diet,,,,,,21,0,0,
100010.1.0,100010,Portion size,14.1,0.080850673,1.47E-05,,100097,Typical diet yesterday,lifestyle,Diet,Diet,,,,,,21,0,0,
100010.2.0,100010,Portion size,14.1,,,,100097,Typical diet yesterday,lifestyle,Diet,Diet,,,,,,21,0,0,
100010.3.0,100010,Portion size,14.1,0.078772685,0.001050282,,100097,Typical diet yesterday,lifestyle,Diet,Diet,,,,,,21,0,0,
100010.4.0,100010,Portion size,14.1,0.105572532,0.000717619,,100097,Typical diet yesterday,lifestyle,Diet,Diet,,,,,,21,0,0,
100011.0.0,100011,Iron,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100011.1.0,100011,Iron,14.1,0.061698765,0.004088516,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100011.2.0,100011,Iron,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100011.3.0,100011,Iron,14.1,0.061519314,0.000908938,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100011.4.0,100011,Iron,14.1,0.052532678,0.001475156,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
