"","traitName","R2_UBHDD","R2_UBHDD_se","R2_UBHDD_shuffle","R2_UBHDD_shuffle_se","if_exemplar","h2_Tg","h2_Tng","QTL_num_Tg","QTL_num_Tng"
"1","X25056.2.0",0.564772603445585,0.00362303848795732,-0.000277582524790621,6.40927565617453e-05,NA,NA,NA,NA,NA
"2","X25057.2.0",0.329537952583419,0.00546688224254121,-0.000583636823417422,0.000194018981127964,NA,NA,NA,NA,NA
"3","X25058.2.0",0.543508819731264,0.00590394914777015,-0.000442437152581376,0.000211282197916427,NA,NA,NA,NA,NA
"4","X25059.2.0",0.570525631520687,0.0031534061096187,-0.000294199894457603,0.000181230351603322,NA,NA,NA,NA,NA
"5","X25060.2.0",0.572940471309925,0.00481135585253947,-0.000347825431647619,6.29422679572592e-05,NA,NA,NA,NA,NA
"6","X25061.2.0",0.427643526748477,0.00382095147692576,-0.000640422799861395,0.000255621775931008,NA,NA,NA,NA,NA
"7","X25062.2.0",0.354894339065017,0.00519917433844641,-0.000101572148234752,0.000115208975997093,NA,NA,NA,NA,NA
"8","X25063.2.0",0.380056879321806,0.00561083051628087,-0.000335937176856505,9.90426731615215e-05,NA,NA,NA,NA,NA
"9","X25064.2.0",0.435915650723522,0.00530034527540546,-0.000374753747887202,9.74748903922231e-05,NA,NA,NA,NA,NA
"10","X25065.2.0",0.393340533370681,0.00425980820230177,-0.000439109502954327,0.000290060418416659,TRUE,0.302365,0.19795,0,2
"11","X25066.2.0",0.39615167164887,0.00523341955378826,-0.000479007472237147,0.000213012072537288,TRUE,0.39202,0.276292,2,3
"12","X25067.2.0",0.37828694919041,0.00392035247972688,-0.000393124877764439,0.000186052170156506,NA,NA,NA,NA,NA
"13","X25068.2.0",0.386987899683988,0.00452301645777052,-0.000770836311827439,0.000297040577609091,NA,NA,NA,NA,NA
"14","X25069.2.0",0.374019701544048,0.00502769852143901,-0.000624968153841632,0.000310371891659644,NA,NA,NA,NA,NA
"15","X25070.2.0",0.53305376816565,0.00461152713279971,-0.000720995415641013,0.000208125493493028,NA,NA,NA,NA,NA
"16","X25071.2.0",0.541970274722103,0.0051659630366177,-0.000722624172456965,0.000347722431799071,NA,NA,NA,NA,NA
"17","X25072.2.0",0.481868896216279,0.0056756503227634,-0.000369769720144952,8.88996775076682e-05,TRUE,0.422898,0.296133,7,0
"18","X25073.2.0",0.513004802821879,0.00432382000378075,-0.000409854306645463,0.000137982542376608,NA,NA,NA,NA,NA
"19","X25074.2.0",0.565681563876242,0.00605080438295893,-0.000368065889895797,0.000122037852370746,TRUE,0.427369,0.301463,12,1
"20","X25075.2.0",0.568313372157251,0.00484858984852084,-0.00069734583346146,0.000528940433765468,NA,NA,NA,NA,NA
"21","X25076.2.0",0.530225055025372,0.00492403018501682,-0.000385679275416417,0.000106052938222034,NA,NA,NA,NA,NA
"22","X25077.2.0",0.506259963309306,0.00475083525751559,-0.000404145238404174,7.78388499404405e-05,NA,NA,NA,NA,NA
"23","X25078.2.0",0.632924433905991,0.00444604749282745,2.27006699663246e-05,0.00023914287282368,NA,NA,NA,NA,NA
"24","X25079.2.0",0.611111967220098,0.0053565838248472,-0.000384665962405273,0.000234989245593722,NA,NA,NA,NA,NA
"25","X25080.2.0",0.555921058050008,0.00682204667703669,-0.000892397115776089,0.000600876679385411,NA,NA,NA,NA,NA
