"","traitName_left","traitName_right","R2_Tg_LR","R2_Tng_LR","brain_region","measure_type"
"1","X25063.2.0","X25062.2.0",0.691911872384276,0.194874534663819,"corticospinal tract ","FA"
"2","X25065.2.0","X25064.2.0",0.849746532232314,0.506250517458218,"medial lemniscus ","FA"
"3","X25067.2.0","X25066.2.0",0.865360545616814,0.440965538897987,"inferior cerebellar peduncle ","FA"
"4","X25069.2.0","X25068.2.0",0.870100609245938,0.577068910360723,"superior cerebellar peduncle ","FA"
"5","X25071.2.0","X25070.2.0",0.835167185453758,0.284731411951324,"cerebral peduncle ","FA"
"6","X25073.2.0","X25072.2.0",0.86510717527924,0.402897222094129,"anterior limb of internal capsule ","FA"
"7","X25075.2.0","X25074.2.0",0.876074934232303,0.355823661116031,"posterior limb of internal capsule ","FA"
"8","X25077.2.0","X25076.2.0",0.729929632183602,0.0746435104630407,"retrolenticular part of internal capsule ","FA"
"9","X25079.2.0","X25078.2.0",0.815698806868967,0.526763675966787,"anterior corona radiata ","FA"
"10","X25081.2.0","X25080.2.0",0.833703451187149,0.409306675467817,"superior corona radiata ","FA"
"11","X25083.2.0","X25082.2.0",0.810145503893948,0.257941982009639,"posterior corona radiata ","FA"
"12","X25085.2.0","X25084.2.0",0.820413036428282,0.365074286340387,"posterior thalamic radiation ","FA"
"13","X25087.2.0","X25086.2.0",0.557842347076501,0.237784837545252,"sagittal stratum ","FA"
"14","X25089.2.0","X25088.2.0",0.86093843419386,0.430880199208919,"external capsule ","FA"
"15","X25091.2.0","X25090.2.0",0.870566833296099,0.344930277262425,"cingulum cingulate gyrus ","FA"
"16","X25093.2.0","X25092.2.0",0.699557730029828,0.298691655328857,"cingulum hippocampus ","FA"
"17","X25095.2.0","X25094.2.0",0.71504640092534,0.315453061254396,"fornix cres+stria terminalis ","FA"
"18","X25097.2.0","X25096.2.0",0.786599310686504,0.404986177997709,"superior longitudinal fasciculus ","FA"
"19","X25099.2.0","X25098.2.0",0.829101506837045,0.167788583246867,"superior fronto-occipital fasciculus ","FA"
"20","X25101.2.0","X25100.2.0",0.659048947740068,0.255484411033561,"uncinate fasciculus ","FA"
"21","X25103.2.0","X25102.2.0",0.682372214796315,0.298703788852331,"tapetum ","FA"
"22","X25111.2.0","X25110.2.0",0.638944308605199,0.267935771982462,"corticospinal tract ","MD"
"23","X25113.2.0","X25112.2.0",0.822192091148007,0.34623807313313,"medial lemniscus ","MD"
"24","X25115.2.0","X25114.2.0",0.851158172258339,0.356757267314219,"inferior cerebellar peduncle ","MD"
"25","X25117.2.0","X25116.2.0",0.759116824947944,0.456630276552564,"superior cerebellar peduncle ","MD"
"26","X25119.2.0","X25118.2.0",0.67283414737262,0.18308931146108,"cerebral peduncle ","MD"
"27","X25121.2.0","X25120.2.0",0.943695742841746,0.456763674638155,"anterior limb of internal capsule ","MD"
"28","X25123.2.0","X25122.2.0",0.825045355707317,0.291698275432876,"posterior limb of internal capsule ","MD"
"29","X25125.2.0","X25124.2.0",0.71303076175636,0.144665788821561,"retrolenticular part of internal capsule ","MD"
"30","X25127.2.0","X25126.2.0",0.950200276682124,0.636155724376743,"anterior corona radiata ","MD"
